,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA,F,GM,TSLA
Date,,,,,,,,,,,,,,,,,,
2021-12-06,18.995304107666016,59.84000015258789,1009.010009765625,19.219999313354492,59.84000015258789,1009.010009765625,19.489999771118164,60.72999954223633,1021.6400146484375,18.610000610351562,58.70000076293945,950.5,19.229999542236328,60.470001220703125,1001.510009765625,88147400,16728200,27221000
2021-12-07,19.726652145385742,61.529998779296875,1051.75,19.959999084472656,61.529998779296875,1051.75,20.059999465942383,62.380001068115234,1057.6700439453125,19.520000457763672,60.70000076293945,1026.81005859375,19.649999618530273,60.90999984741211,1044.199951171875,75885600,14135700,18694900
2021-12-08,19.578407287597656,60.779998779296875,1068.9599609375,19.809999465942383,60.779998779296875,1068.9599609375,20.190000534057617,61.810001373291016,1072.3800048828125,19.75,60.41999816894531,1033.0,20.18000030517578,61.650001525878906,1052.7099609375,63246800,10004100,13968800
2021-12-09,19.34121322631836,59.619998931884766,1003.7999877929688,19.56999969482422,59.619998931884766,1003.7999877929688,19.93000030517578,60.630001068115234,1062.489990234375,19.540000915527344,59.59000015258789,1002.3599853515625,19.760000228881836,60.380001068115234,1060.6400146484375,63357600,12964800,19812800
2021-12-10,21.199235916137695,63.209999084472656,1017.030029296875,21.450000762939453,63.209999084472656,1017.030029296875,21.489999771118164,63.290000915527344,1020.97998046875,19.760000228881836,60.099998474121094,982.530029296875,19.770000457763672,60.099998474121094,1008.75,169657200,22839800,19888100
2021-12-13,20.191160202026367,59.130001068115234,966.4099731445312,20.43000030517578,59.130001068115234,966.4099731445312,21.299999237060547,62.18000030517578,1005.0,20.1299991607666,59.02000045776367,951.4199829101562,21.239999771118164,62.06999969482422,1001.0900268554688,126632300,27327000,26198500
2021-12-14,19.815601348876953,58.400001525878906,958.510009765625,20.049999237060547,58.400001525878906,958.510009765625,20.18000030517578,59.20000076293945,966.4099731445312,19.3799991607666,57.70000076293945,930.0,19.799999237060547,57.970001220703125,945.0,124559700,17928700,23602100
2021-12-15,19.95396614074707,58.61000061035156,975.989990234375,20.190000534057617,58.61000061035156,975.989990234375,20.329999923706055,58.88999938964844,978.75,19.549999237060547,57.040000915527344,928.25,19.989999771118164,58.29999923706055,953.2100219726562,79679700,14471600,25056400
2021-12-16,20.11209487915039,58.38999938964844,926.9199829101562,20.350000381469727,58.38999938964844,926.9199829101562,21.100000381469727,60.619998931884766,994.97998046875,20.260000228881836,58.029998779296875,921.8499755859375,20.56999969482422,59.400001525878906,994.5,107020900,17772200,27590500
2021-12-17,19.538877487182617,55.15999984741211,932.5700073242188,19.770000457763672,55.15999984741211,932.5700073242188,20.239999771118164,56.38999938964844,960.6599731445312,19.600000381469727,54.5099983215332,909.0399780273438,20.030000686645508,56.20000076293945,914.77001953125,98710700,42175800,33479100
2021-12-20,19.19296646118164,54.040000915527344,899.9400024414062,19.420000076293945,54.040000915527344,899.9400024414062,19.6200008392334,54.540000915527344,921.6900024414062,19.049999237060547,53.13999938964844,893.3900146484375,19.459999084472656,54.02000045776367,910.7000122070312,74565600,19073900,18826700
2021-12-21,19.380746841430664,54.790000915527344,938.530029296875,19.610000610351562,54.790000915527344,938.530029296875,19.790000915527344,54.900001525878906,939.5,19.329999923706055,53.84000015258789,886.1199951171875,19.75,54.5,916.8699951171875,58930900,15571300,23839300
2021-12-22,19.90454864501953,56.08000183105469,1008.8699951171875,20.139999389648438,56.08000183105469,1008.8699951171875,20.34000015258789,56.349998474121094,1015.6599731445312,19.639999389648438,54.75,957.0499877929688,19.639999389648438,54.790000915527344,965.6599731445312,75806400,16694000,31211400
2021-12-23,20.013263702392578,56.90999984741211,1067.0,20.25,56.90999984741211,1067.0,20.40999984741211,57.09000015258789,1072.97998046875,20.0,55.77000045776367,997.5599975585938,20.079999923706055,56.06999969482422,1006.7999877929688,50610500,13722300,30904400
2021-12-27,20.556833267211914,57.43000030517578,1093.93994140625,20.799999237060547,57.43000030517578,1093.93994140625,20.889999389648438,57.75,1117.0,20.100000381469727,56.529998779296875,1070.719970703125,20.260000228881836,56.88999938964844,1073.6700439453125,59651800,9078900,23715300
2021-12-28,20.517301559448242,57.11000061035156,1088.469970703125,20.760000228881836,57.11000061035156,1088.469970703125,21.059999465942383,58.119998931884766,1119.0,20.59000015258789,57.0099983215332,1078.4200439453125,20.65999984741211,57.400001525878906,1109.489990234375,53020500,8577700,20108000
2021-12-29,20.319639205932617,57.22999954223633,1086.18994140625,20.559999465942383,57.22999954223633,1086.18994140625,20.770000457763672,57.70000076293945,1104.0,20.450000762939453,56.7400016784668,1064.1400146484375,20.709999084472656,57.11000061035156,1098.6400146484375,37883000,7982300,18718000
2021-12-30,20.23069190979004,58.130001068115234,1070.3399658203125,20.469999313354492,58.130001068115234,1070.3399658203125,20.959999084472656,58.779998779296875,1095.550048828125,20.469999313354492,57.2599983215332,1053.1500244140625,20.59000015258789,57.45000076293945,1061.3299560546875,51470100,11965900,15680300
2021-12-31,20.527185440063477,58.630001068115234,1056.780029296875,20.770000457763672,58.630001068115234,1056.780029296875,21.010000228881836,59.04999923706055,1082.0,20.459999084472656,57.91999816894531,1054.5899658203125,20.459999084472656,58.0,1073.43994140625,51899600,9856300,13577900
